#
# The Tor Project
#
# URL: https://metrics.torproject.org/versions.csv?start=2019-02-18&end=2019-05-19
#
date,version,relays
2019-04-09,0.3.2,262
2019-04-09,0.3.3,266
2019-04-09,0.3.4,1044
2019-04-09,0.3.5,3237
2019-04-09,0.4.0,182
2019-04-09,0.4.1,22
2019-04-09,Other,1
2019-04-10,0.2.4,133
2019-04-10,0.2.5,143
2019-04-10,0.2.6,24
2019-04-10,0.2.7,76
2019-04-10,0.2.8,21
2019-04-10,0.2.9,1098
2019-04-10,0.3.0,57
2019-04-10,0.3.1,64
2019-04-10,0.3.2,261
2019-04-10,0.3.3,264
2019-04-10,0.3.4,1032
2019-04-10,0.3.5,3254
2019-04-10,0.4.0,186
2019-04-10,0.4.1,23
2019-04-10,Other,1
2019-04-11,0.2.4,132
2019-04-11,0.2.5,140
2019-04-11,0.2.6,24
2019-04-11,0.2.7,74
2019-04-11,0.2.8,20
2019-04-11,0.2.9,1091
2019-04-11,0.3.0,58
2019-04-11,0.3.1,64
2019-04-11,0.3.2,263
2019-04-11,0.3.3,258
2019-04-11,0.3.4,1027
2019-04-11,0.3.5,3280
2019-04-11,0.4.0,183
2019-04-11,0.4.1,24
2019-04-11,Other,1
2019-04-12,0.2.4,134
2019-04-12,0.2.5,135
2019-04-12,0.2.6,24
2019-04-12,0.2.7,75
2019-04-12,0.2.8,22
2019-04-12,0.2.9,1092
2019-04-12,0.3.0,60
2019-04-12,0.3.1,65
2019-04-12,0.3.2,260
2019-04-12,0.3.3,254
2019-04-12,0.3.4,1006
2019-04-12,0.3.5,3300
2019-04-12,0.4.0,189
2019-04-12,0.4.1,24
2019-04-12,Other,1
2019-04-13,0.2.4,137
2019-04-13,0.2.5,135
2019-04-13,0.2.6,24
2019-04-13,0.2.7,74
2019-04-13,0.2.8,21
2019-04-13,0.2.9,1094
2019-04-13,0.3.0,59
2019-04-13,0.3.1,65
2019-04-13,0.3.2,262
2019-04-13,0.3.3,254
2019-04-13,0.3.4,1024
2019-04-13,0.3.5,3303
2019-04-13,0.4.0,191
2019-04-13,0.4.1,23
2019-04-13,Other,1
2019-04-14,0.2.4,137
2019-04-14,0.2.5,137
2019-04-14,0.2.6,23
2019-04-14,0.2.7,72
2019-04-14,0.2.8,20
2019-04-14,0.2.9,1100
2019-04-14,0.3.0,58
2019-04-14,0.3.1,64
2019-04-14,0.3.2,260
2019-04-14,0.3.3,251
2019-04-14,0.3.4,1026
2019-04-14,0.3.5,3304
2019-04-14,0.4.0,190
2019-04-14,0.4.1,24
2019-04-14,Other,1
2019-04-15,0.2.4,135
2019-04-15,0.2.5,137
2019-04-15,0.2.6,22
2019-04-15,0.2.7,73
2019-04-15,0.2.8,20
2019-04-15,0.2.9,1100
2019-04-15,0.3.0,59
2019-04-15,0.3.1,63
2019-04-15,0.3.2,257
2019-04-15,0.3.3,247
2019-04-15,0.3.4,1022
2019-04-15,0.3.5,3310
2019-04-15,0.4.0,192
2019-04-15,0.4.1,24
2019-04-15,Other,1
2019-04-16,0.2.4,133
2019-04-16,0.2.5,138
2019-04-16,0.2.6,21
2019-04-16,0.2.7,74
2019-04-16,0.2.8,20
2019-04-16,0.2.9,1105
2019-04-16,0.3.0,57
2019-04-16,0.3.1,64
2019-04-16,0.3.2,257
2019-04-16,0.3.3,242
2019-04-16,0.3.4,1010
2019-04-16,0.3.5,3315
2019-04-16,0.4.0,193
2019-04-16,0.4.1,25
2019-04-16,Other,1
2019-04-17,0.2.4,129
2019-04-17,0.2.5,137
2019-04-17,0.2.6,21
2019-04-17,0.2.7,73
2019-04-17,0.2.8,21
2019-04-17,0.2.9,1097
2019-04-17,0.3.0,57
2019-04-17,0.3.1,65
2019-04-17,0.3.2,254
2019-04-17,0.3.3,243
2019-04-17,0.3.4,999
2019-04-17,0.3.5,3319
2019-04-17,0.4.0,192
2019-04-17,0.4.1,24
2019-04-17,Other,1
2019-04-18,0.2.4,131
2019-04-18,0.2.5,138
2019-04-18,0.2.6,22
2019-04-18,0.2.7,74
2019-04-18,0.2.8,21
2019-04-18,0.2.9,1090
2019-04-18,0.3.0,58
2019-04-18,0.3.1,65
2019-04-18,0.3.2,254
2019-04-18,0.3.3,245
2019-04-18,0.3.4,1002
2019-04-18,0.3.5,3326
2019-04-18,0.4.0,191
2019-04-18,0.4.1,25
2019-04-18,Other,1
2019-04-19,0.2.4,133
2019-04-19,0.2.5,137
2019-04-19,0.2.6,22
2019-04-19,0.2.7,74
2019-04-19,0.2.8,21
2019-04-19,0.2.9,1083
2019-04-19,0.3.0,57
2019-04-19,0.3.1,65
2019-04-19,0.3.2,254
2019-04-19,0.3.3,241
